feature,coef,odds_ratio,std_err,z,scaled
poutcome_success,1.3576636630943897,3.88710110694382,0.11055873682514777,12.280021480722766,False
month_mar,0.9284590110944109,2.5306065348309335,0.11356729475944503,8.175408360840557,False
month_jan,-0.8957720311659868,0.40829226258033446,0.10770783556093463,-8.316683985903818,False
month_oct,0.8040049956315313,2.2344720828680376,0.10979330433155557,7.32289642366154,False
poutcome_failure,-0.7791274773137937,0.4588061554916352,0.1060530510531689,-7.346582390384828,False
month_nov,-0.691115330506692,0.5010169578296682,0.10124090064044915,-6.826443918759137,False
contact_unknown,-0.6578896570331639,0.5179432197913447,0.1097440136848851,-5.994765773030719,False
month_sep,0.6145664170453414,1.8488547938219981,0.1121855930997911,5.478122458190096,False
month_aug,-0.5881363892659226,0.5553612982125741,0.09669301464937585,-6.08251166228086,False
month_dec,0.477028499602904,1.611279364221932,0.12818372560194605,3.721443555824234,False
poutcome_other,-0.45842657112616636,0.6322777072599964,0.10884621732557549,-4.211690423333161,False
month_jul,-0.45491380032533163,0.634502659513823,0.09573847114139296,-4.7516300908282165,False
contact_cellular,0.45026186979431304,1.568722932858419,0.10782745471994527,4.175762758786759,False
job_retired,0.40082874276274383,1.4930615490077417,0.07514378788261539,5.334156742123404,False
job_student,0.3760570569671667,1.4565302365981527,0.08589960680713703,4.377867035078462,False
month_may,-0.2916174090356492,0.7470542975290909,0.09445852121690847,-3.08725359320413,False
month_feb,-0.2541391657471615,0.7755838598283811,0.10156336341199755,-2.5022720517459778,False
housing_no,0.22799592059440865,1.256080201361296,0.12987740080434076,1.7554703064768182,False
housing_yes,-0.22799592059440862,0.7961275075558351,0.1298774008043407,-1.755470306476819,False
month_jun,0.22204968359409896,1.2486334129188743,0.09702274137103004,2.28863543182053,False
job_entrepreneur,-0.2122039742683706,0.8087997064117232,0.08248780140523454,-2.5725497667938146,False
contact_telephone,0.20762778723888356,1.2307549815725027,0.11077368718711945,1.874342115995089,False
marital_married,-0.20742728325231674,0.8126723345136537,0.10693684033646648,-1.939717711872417,False
job_housemaid,-0.2020161190118936,0.8170817572855242,0.08554348594445292,-2.361560518390277,False
loan_no,0.18898533267749432,1.2080232338865942,0.13045127165435544,1.448704411086395,False
loan_yes,-0.18898533267747714,0.8277986481954488,0.13045127165435622,-1.4487044110862546,False
education_tertiary,0.1787287221391669,1.195696334223501,0.09576412917437566,1.8663431044595216,False
job_unknown,-0.16132924179168015,0.8510118363154506,0.12266454446750051,-1.3152067901285338,False
was_contacted_before,0.15784285830501776,1.1709821701260732,0.15437660565287548,1.0224532249396412,False
never_contacted,-0.15784285830500858,0.8539839679133157,0.15437660565286795,-1.0224532249396314,False
balance_signed_log,0.15468455253698932,1.167289684452652,0.015602231622282551,9.914258183173896,True
campaign_log,-0.1529374854987612,0.8581833690397984,0.031846925824370084,-4.802268399222682,True
previous_log,0.14776582502261826,1.1592413992468504,0.03698380798583915,3.9954194300164225,True
education_primary,-0.1469357665265517,0.8633494315680832,0.09692019102006642,-1.51604908100243,False
job_unemployed,0.13383688335397467,1.1432063284531393,0.08003889918569962,1.6721479769912555,False
marital_single,0.13090722856868311,1.1398620297746995,0.10766215754971412,1.2159075347179007,False
month_apr,0.12958551907847518,1.138356458495518,0.09798652384619132,1.3224830720792236,False
poutcome_unknown,-0.12010961465442427,0.88682322256813,0.15315983934367797,-0.7842108947692761,False
job_blue-collar,-0.09372716548447856,0.9105311526803922,0.06294063068793812,-1.4891361027057572,False
job_management,-0.09047089859083961,0.913500917678112,0.0632587541750305,-1.430171993911165,False
job_services,-0.08863325079454971,0.915181153994835,0.0680235631785807,-1.3029786540564314,False
marital_divorced,0.07652005468364197,1.0795238396291675,0.10849081086582472,0.7053136949845239,False
campaign,-0.06203378904438897,0.9398511295830326,0.03669020018508244,-1.6907454505961177,True
job_technician,-0.05381334538520806,0.9476089655819472,0.0621479243377723,-0.8658912740630559,False
month_cos,0.04361626219019885,1.0445814325777425,0.04652958231264899,0.9373877869164075,True
education_unknown,-0.03680461601613206,0.9638644406268551,0.10210339629172334,-0.36046417017291227,False
month_sin,-0.026700120410728445,0.9736531764641351,0.04913787133966203,-0.5433715316271185,True
default_yes,0.024639015039830875,1.024945063982927,0.13790569227634192,0.17866568546320813,False
default_no,-0.02463901503978862,0.9756620477921534,0.13790569227634203,-0.17866568546290157,False
job_admin.,-0.018355892771136948,0.9818115505395072,0.06490771886108863,-0.2827998440435268,False
previous,-0.018294135169312043,0.9818721867386664,0.02077192092592322,-0.8807146548724382,True
balance,0.016184006234732966,1.016315676622748,0.013637506056706251,1.1867277028100363,True
age,0.014866357125830641,1.0149774110529248,0.015369163707450196,0.9672847143025863,True
pdays,-0.011757631839373096,0.9883112190087041,0.021589980327544854,-0.5445874271766943,True
job_self-employed,0.00982720501430257,1.0098756505582176,0.07841113627023037,0.12532920043952447,False
education_secondary,0.005011660403541743,1.0050242397792823,0.09430683540488904,0.05314206952258658,False
day,0.004233895116140855,1.0042428707128426,0.013697487212952074,0.3091001327701454,True
